% var.,PAGH,PAGM,PAFM,PAAH
-0.0146,566.79,555.95,74.83,108.86
-0.0077,555.5,551.69,75.26,108.7
0.0002,555.6,551.82,75.6,109.01
0.0116,552.4,558.23,75,108.83
0.0055,558.52,561.29,74.61,109.7
-0.0054,561.15,558.25,74.72,111.25
-0.0032,560.81,556.44,74.25,112.82
-0.0022,558,555.19,74.88,114.18
-0.0154,555.19,546.64,74.24,113.99
-0.0039,547.93,544.51,74.34,115.47
0.0049,544.75,547.2,73.33,114.67
-0.0063,542.09,543.76,73.6,116.31
0.0039,551.04,545.89,73.75,116.47
0.0029,546.57,547.48,74.01,118.62
0.0032,547.21,549.23,75.63,117.6
-0.0027,549.23,547.73,77.62,119
0.0025,547,549.08,77.7,118.93
-0.0172,545.09,539.65,75.1,115.07
-0.002,539.45,538.59,75.46,114.63
-0.003,537.5,536.97,74.88,115.93
0.0104,537.64,542.58,75.24,115.49
-0.0267,536.7,528.08,76.36,115
0.005,529.22,530.73,76.52,112.4
0.0101,525.88,536.11,76.84,114.12
-0.0151,535.9,528.04,76.18,111.95
0.0077,530.01,532.11,77.73,111.62
-0.0199,527.44,521.51,77.83,109.73
-0.0109,523.76,515.84,76.99,108.22
-0.0343,513.6,498.16,74.69,106.75
0.0166,499.86,506.45,76.11,109.41
0.0161,515.99,514.62,78.4,112.65
0.0105,516.99,520.04,79.88,111.78
0.0236,520.61,532.3,81.45,112.94
0.0122,534.51,538.77,80.61,112.54
